Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
jeep,compass,2018.0,sport,Gris,Nafta,5.0,manual,2.4,1,95000.0,21200.0,concesionaria,,
jeep,commander,2023.0,limited gse,Negro,Nafta,5.0,automatica,1.3,1,0.0,42000.0,tienda,,4x2
volkswagen,nivus,2025.0,tsi 200 highline,Azul,Nafta,5.0,,1.0,,0.0,28720.0,concesionaria,,
toyota,sw4,2022.0,srx,Negro,Diésel,5.0,automatica,2.8,,118000.0,48900.0,particular,204.0,4x4
ford,ecosport,2018.0,freestyle,Blanco,Nafta,5.0,manual,1.5,,68000.0,16720.0,concesionaria,123.0,4x2
dodge,journey,2012.0,sxt filas,Plateado,Nafta,5.0,automatica,2.4,,195000.0,14500.0,concesionaria,170.0,
toyota,rav4,2018.0,tx,Blanco,Nafta,5.0,,2.0,,105000.0,26400.0,particular,,
ford,ecosport,2016.0,se,Rojo,Nafta,5.0,manual,1.6,,75000.0,14900.0,concesionaria,110.0,4x2
chevrolet,tracker,2023.0,turbo,Azul,Híbrido,,automatica,1.2,0,14607.0,22048.0,tienda,,
honda,hrv,2016.0,lx,Rojo,Nafta,5.0,automatica,1.8,1,98000.0,18968.0,concesionaria,,4x2
chery,tiggo,2014.0,f2 confort,Gris,Nafta,5.0,manual,2.0,,165000.0,9200.0,particular,138.0,4x2
volkswagen,taos,2022.0,250 tsi highline,,Nafta,5.0,,1.4,,47000.0,32000.0,particular,,
ford,ecosport,2012.0,my10 xlt plus,Blanco,Nafta,5.0,manual,2.0,,195000.0,9293.0,particular,,4x4
nissan,kicks,2017.0,advance,Azul,Nafta,5.0,automatica,1.6,,87900.0,16400.0,concesionaria,,
volkswagen,tcross,2025.0,200 tsi highline bitono,Blanco,Nafta,5.0,automatica,1.0,,0.0,31440.0,tienda,,
ford,ecosport,2020.0,titanium,Blanco,Nafta,5.0,automatica,2.0,1,61000.0,20400.0,concesionaria,,
peugeot,2008,2025.0,allure,Gris,Nafta,5.0,,1.0,1,0.0,18040.0,tienda,,
volkswagen,tcross,2025.0,200 tsi comfortline,Rojo,Nafta,5.0,automatica,1.0,,0.0,26560.0,tienda,,
jeep,compass,2019.0,longitude,Gris,Nafta,5.0,,2.4,1,105000.0,23900.0,particular,,
chevrolet,trailblazer,2017.0,nueva ltz tdci,Rojo,Diésel,5.0,,2.8,,91500.0,27000.0,particular,200.0,
ford,ecosport,2010.0,my10 xls,Gris,Nafta,5.0,manual,2.0,,138000.0,8320.0,particular,,4x2
jeep,compass,2025.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,,0.0,36400.0,tienda,,4x2
volkswagen,taos,2024.0,250 tsi highline,Gris,Nafta,5.0,,1.4,,0.0,38240.0,tienda,,
ford,ecosport,2020.0,se,Blanco,Nafta,5.0,,1.5,0,99000.0,18400.0,tienda,123.0,4x2
kia,sorento,2017.0,ex,Blanco,Nafta,5.0,manual,2.4,1,117900.0,26320.0,concesionaria,,
ford,ecosport,2017.0,se,Plateado,Nafta,5.0,manual,1.5,,42000.0,15600.0,concesionaria,123.0,4x2
ford,ecosport,2022.0,titanium,Blanco,Nafta,5.0,,1.5,1,60000.0,20000.0,particular,123.0,4x2
chevrolet,trailblazer,2025.0,td high country,Blanco,Diésel,5.0,automatica,2.8,,0.0,46784.0,tienda,,4x4
ford,ecosport,2013.0,se,Negro,Nafta,5.0,manual,2.0,0,186000.0,12000.0,particular,143.0,4x2
jeep,renegade,2018.0,sport plus,Blanco,Nafta,5.0,automatica,1.8,1,110000.0,19200.0,concesionaria,,
volkswagen,tiguanallspace,2019.0,highline tdi 4motion,Blanco,Nafta,5.0,automatica,2.0,,156700.0,24800.0,tienda,,
volkswagen,tiguan,2008.0,tsi exclusive,Negro,Nafta,5.0,automatica,2.0,,163000.0,10500.0,particular,,
bmw,x1,2018.0,sdrive 20i sportline,Gris,Nafta,5.0,manual,2.0,,58700.0,36500.0,concesionaria,192.0,
bmw,x1,2012.0,i,Blanco,Nafta,5.0,manual,1.8,,119000.0,16000.0,particular,,
volkswagen,taos,2022.0,250 tsi highline,Blanco,Nafta,5.0,,1.4,,125000.0,26800.0,concesionaria,,
chevrolet,tracker,2017.0,ltz,Plateado,Nafta,5.0,automatica,1.8,,72000.0,15840.0,concesionaria,140.0,4x4
jac,s2,2022.0,intelligent,Gris,Nafta,5.0,manual,1.5,1,66000.0,14400.0,concesionaria,,
ford,ecosport,2011.0,my10 tdci xls,Negro,Diésel,5.0,manual,1.4,,145400.0,9500.0,particular,,4x2
volkswagen,tiguanallspace,2024.0,tsi life 4motion,Gris,Nafta,5.0,automatica,2.0,,0.0,42320.0,tienda,,
jeep,renegade,2022.0,longitude l18,Blanco,Nafta,5.0,automatica,1.8,1,30000.0,27600.0,concesionaria,,4x2
peugeot,2008,2016.0,thp sport,Gris,Nafta,5.0,manual,1.6,,90000.0,14500.0,concesionaria,,
nissan,kicks,2020.0,exclusive bitono,Blanco,Nafta,5.0,automatica,1.6,,78000.0,22800.0,concesionaria,,
ford,ecosport,2014.0,se,Plateado,Nafta,5.0,manual,1.6,,161000.0,10800.0,concesionaria,110.0,4x2
jeep,renegade,2024.0,longitude,Negro,Nafta,5.0,automatica,1.3,,0.0,29200.0,tienda,,4x2
ford,kuga,2020.0,,Azul,Híbrido,,automatica,2.5,0,45000.0,34500.0,concesionaria,,4x2
peugeot,2008,2025.0,gt,Blanco,Nafta,5.0,,1.0,1,0.0,25320.0,tienda,,
nissan,kicks,2021.0,sense,Blanco,Híbrido,,manual,1.6,0,26050.0,20048.0,tienda,,
citroen,c3aircross,2024.0,shine turbo 200 bitono,Blanco,Nafta,5.0,automatica,1.0,,0.0,16640.0,tienda,,
jeep,renegade,2025.0,longitude,Celeste,Nafta,5.0,automatica,1.3,,0.0,29832.0,tienda,,4x2
volkswagen,touareg,2012.0,v6 fsi style,Negro,Nafta,5.0,,3.6,0,170000.0,24500.0,particular,,
renault,captur,2017.0,intens,Marrón,Nafta,5.0,manual,2.0,1,70036.0,16000.0,concesionaria,,
porsche,cayenne,2013.0,958,Gris,Nafta,5.0,,3.6,0,173000.0,45900.0,particular,300.0,
chevrolet,tracker,2023.0,turbo,Rojo,Nafta,5.0,automatica,1.2,,37000.0,22000.0,particular,,
toyota,sw4,2023.0,srx,Gris,Diésel,5.0,automatica,2.8,1,65000.0,48900.0,particular,204.0,4x4
volkswagen,tcross,2025.0,200 tsi highline tip,Rojo,Nafta,5.0,,1.0,0,0.0,32160.0,concesionaria,,
chevrolet,tracker,2018.0,ltz,Gris,Nafta,5.0,,1.8,,110000.0,16160.0,tienda,140.0,
fiat,pulse,2022.0,impetus t3,Blanco,Nafta,5.0,automatica,1.0,,0.0,32500.0,concesionaria,,
nissan,xterra,2006.0,se,Gris,Diésel,5.0,manual,2.8,,320000.0,13800.0,concesionaria,,4x4
toyota,sw4,2025.0,srx,Gris,Diésel,5.0,automatica,2.8,1,1000.0,56880.0,tienda,204.0,4x4
honda,hrv,2019.0,exl,Gris,Nafta,5.0,automatica,1.8,,104000.0,25000.0,concesionaria,,4x2
toyota,corollacross,2025.0,seg,Gris,Nafta,5.0,automatica,2.0,,1000.0,36800.0,particular,,
jeep,compass,2018.0,limited,Azul,Nafta,5.0,,2.4,,85000.0,25520.0,concesionaria,,
volkswagen,taos,2022.0,250 tsi highline,Azul,Nafta,5.0,,1.4,,13000.0,32800.0,particular,,
chery,tiggo,2014.0,f2 confort,Azul,Nafta,5.0,manual,2.0,0,126000.0,9600.0,particular,138.0,4x2
toyota,sw4,2020.0,srx,Negro,Diésel,5.0,automatica,2.8,,110000.0,44200.0,particular,204.0,4x4
chevrolet,equinox,2019.0,premier,Blanco,Nafta,5.0,,1.5,,58582.0,23360.0,concesionaria,,4x4
nissan,xtrail,2019.0,exclusive xtronic,Negro,Nafta,5.0,automatica,2.5,1,65000.0,30000.0,particular,,
toyota,rav4,2013.0,,Blanco,Nafta,5.0,automatica,2.0,,160000.0,20000.0,concesionaria,,4x2
