Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Con cámara de retroceso,Kilómetros,Precio,Tipo de vendedor,HP,Tracción
bmw,x5,2016.0,35i executive,Gris plata,Nafta,5.0,manual,3.0,0,165000.0,45000.0,particular,306.0,4x4
peugeot,2008,2016.0,feline,Gris plata,Nafta,5.0,manual,1.6,0,78000.0,12800.0,concesionaria,150.0,4x4
toyota,sw4,2018.0,srx,Gris plata,Diésel,5.0,automatica,2.8,1,87028.0,42500.0,concesionaria,204.0,4x4
volkswagen,nivus,2021.0,tsi comfortline,Gris plata,Nafta,5.0,automatica,1.0,1,94000.0,21200.0,concesionaria,101.0,4x2
volkswagen,tcross,2025.0,200 tsi comfortline,Blanco,Nafta,5.0,automatica,1.0,1,0.0,32372.0,tienda,110.0,4x2
renault,duster,2014.0,luxe nav,Negro,Nafta,5.0,manual,2.0,0,135000.0,15000.0,concesionaria,138.0,4x4
nissan,kicks,2018.0,exclusive,Blanco,Nafta,5.0,automatica,1.6,1,90000.0,21360.0,concesionaria,120.0,4x4
jeep,compass,2013.0,t270 series,Gris plata,Nafta,5.0,automatica,2.4,0,165000.0,14000.0,concesionaria,170.0,4x2
bmw,x6,2017.0,m,Blanco,Nafta,5.0,automatica,4.4,0,98000.0,148000.0,particular,575.0,4x4
porsche,cayenne,2008.0,v6,Negro,Nafta,5.0,automatica,3.6,0,178000.0,25000.0,concesionaria,300.0,4x4
renault,duster,2018.0,ph2 privilege,Gris plata,Nafta,5.0,manual,1.6,1,81000.0,15200.0,concesionaria,110.0,4x2
nissan,kicks,2025.0,advance,Gris plata,Nafta,5.0,automatica,1.6,0,0.0,25200.0,tienda,120.0,4x2
toyota,hiluxsw4,2001.0,,Gris plata,Diésel,5.0,manual,3.0,0,252000.0,19000.0,concesionaria,171.0,4x4
nissan,kicks,2019.0,exclusive,Gris plata,Nafta,5.0,automatica,1.6,1,87000.0,21200.0,concesionaria,120.0,4x4
toyota,sw4,2025.0,srx,Gris plata,Diésel,5.0,automatica,2.8,1,0.0,56950.0,tienda,204.0,4x4
fiat,pulse,2024.0,drive gse,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,22800.0,tienda,110.0,4x2
volkswagen,tcross,2025.0,200 tsi comfortline,Plateado,Nafta,5.0,manual,1.0,1,0.0,23200.0,tienda,110.0,4x2
chevrolet,tracker,2024.0,rs,Rojo,Nafta,5.0,automatica,1.2,1,0.0,27622.0,concesionaria,132.0,4x2
ford,ecosport,2009.0,my10 xls,Negro,Nafta,5.0,manual,1.6,0,125000.0,8000.0,particular,110.0,4x2
chevrolet,tracker,2023.0,turbo,Azul,Nafta,5.0,automatica,1.2,0,38200.0,24000.0,particular,132.0,4x4
ford,ecosport,2013.0,se,Azul,Nafta,5.0,manual,2.0,0,136897.0,13500.0,concesionaria,143.0,4x2
honda,hrv,2017.0,lx,Gris plata,Nafta,5.0,automatica,1.8,1,149000.0,18900.0,concesionaria,175.0,4x2
volkswagen,nivus,2022.0,tsi comfortline,Rojo,Nafta,5.0,automatica,1.0,1,50000.0,27000.0,concesionaria,101.0,4x2
ford,ecosport,2014.0,titanium,Blanco,Nafta,5.0,manual,1.6,0,119000.0,12792.0,concesionaria,110.0,4x2
mercedesbenz,claseglc,2018.0,glc250 300 atomatico,Blanco,Nafta,5.0,automatica,2.0,1,90000.0,58000.0,concesionaria,367.0,4x4
renault,duster,2012.0,ph2 privilege,Gris plata,Nafta,5.0,manual,1.6,0,208000.0,9000.0,particular,110.0,4x2
chevrolet,tracker,2025.0,turbo,Blanco,Nafta,5.0,automatica,1.2,0,0.0,27640.0,tienda,132.0,4x4
chevrolet,tracker,2024.0,turbo,Azul,Nafta,5.0,automatica,1.2,1,0.0,34604.0,concesionaria,132.0,4x4
ford,broncosport,2022.0,wildtrak at8,Gris plata,Nafta,5.0,automatica,1.5,0,52000.0,35000.0,particular,110.0,4x4
peugeot,2008,2021.0,allure,Gris plata,Nafta,5.0,manual,1.6,1,105000.0,15920.0,concesionaria,120.0,4x2
honda,crv,2002.0,si,Gris plata,Nafta,5.0,manual,2.0,0,237000.0,11500.0,particular,148.0,4x4
volkswagen,tiguan,2016.0,sport style tsi,Blanco,Nafta,5.0,automatica,2.0,0,100000.0,22000.0,concesionaria,200.0,4x4
renault,duster,2013.0,confort plus,Negro,Nafta,5.0,manual,1.6,0,188208.0,9500.0,particular,110.0,4x2
audi,q8,2021.0,tfsi,Negro,Nafta,5.0,automatica,3.0,0,59050.0,160000.0,concesionaria,340.0,4x4
ford,ecosport,2022.0,se,Negro,Nafta,5.0,manual,1.5,0,42000.0,19200.0,particular,123.0,4x2
toyota,hiluxsw4,2020.0,srx,Gris plata,Diésel,5.0,automatica,2.8,1,118000.0,43500.0,concesionaria,177.0,4x4
fiat,pulse,2025.0,drive gse,Gris plata,Nafta,5.0,automatica,1.3,0,0.0,27120.0,tienda,110.0,4x2
jeep,renegade,2025.0,series,Gris plata,Nafta,5.0,automatica,1.3,1,0.0,29600.0,concesionaria,170.0,4x2
jeep,compass,2024.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,1,1100.0,35992.0,tienda,170.0,4x2
peugeot,2008,2024.0,gt,Gris plata,Nafta,5.0,automatica,1.0,1,8300.0,30160.0,concesionaria,120.0,4x2
ford,broncosport,2025.0,wildtrak at8,Verde oscuro,Nafta,5.0,automatica,2.0,0,0.0,44625.0,tienda,110.0,4x4
hyundai,tucson,2019.0,style,Blanco,Nafta,5.0,automatica,2.0,1,54000.0,26900.0,tienda,154.0,4x2
nissan,kicks,2025.0,advance,Gris plata,Nafta,5.0,automatica,1.6,0,0.0,20060.0,tienda,120.0,4x2
renault,duster,2013.0,confort plus,Gris plata,Nafta,5.0,manual,1.6,0,145000.0,11120.0,concesionaria,110.0,4x2
jeep,compass,2019.0,longitude plus,Plateado,Nafta,5.0,automatica,2.4,1,95000.0,24000.0,particular,170.0,4x4
ford,ecosport,2017.0,freestyle,Rojo,Nafta,5.0,manual,1.5,1,71000.0,19000.0,particular,123.0,4x2
toyota,corollacross,2025.0,seg ecvt,Blanco,Híbrido,5.0,automatica,1.8,1,0.0,39920.0,concesionaria,170.0,4x2
ford,territory,2022.0,ecoboost titanium,Beige techo negro,Híbrido,5.0,automatica,1.5,0,39621.0,26464.0,tienda,143.0,4x2
audi,q5,2024.0,tfsi,Gris plata,Nafta,5.0,automatica,2.0,1,0.0,85000.0,tienda,252.0,4x4
dodge,journey,2012.0,sxt techo dvd nav,Gris plata,Nafta,5.0,automatica,2.4,0,120000.0,15600.0,particular,170.0,4x4
volkswagen,touareg,2008.0,v8 premium,Gris plata,Nafta,5.0,automatica,4.2,0,185000.0,22500.0,concesionaria,240.0,4x2
honda,crv,2008.0,ex,Gris plata,Nafta,5.0,automatica,2.4,0,238000.0,12500.0,particular,185.0,4x4
honda,hrv,2017.0,ex,Gris plata,Nafta,5.0,automatica,1.8,1,150000.0,18500.0,concesionaria,154.0,4x2
peugeot,2008,2018.0,active,Gris plata,Nafta,5.0,manual,1.6,0,72166.0,12800.0,tienda,120.0,4x2
jeep,compass,2025.0,t270 series,Blanco,Nafta,5.0,automatica,1.3,1,0.0,42100.0,tienda,272.0,4x2
honda,hrv,2018.0,ex,Gris plata,Nafta,5.0,automatica,1.8,1,126000.0,22900.0,particular,154.0,4x2
ford,broncosport,2022.0,wildtrak at8,Gris plata,Nafta,5.0,automatica,1.5,1,9600.0,35840.0,concesionaria,110.0,4x4
nissan,kicks,2018.0,advance,Negro,Nafta,5.0,automatica,1.6,1,104151.0,19500.0,concesionaria,120.0,4x2
ford,ecosport,2020.0,titanium,Plateado,Nafta,5.0,manual,1.5,1,55000.0,19960.0,concesionaria,123.0,4x2
hyundai,tucson,2011.0,gl,Gris plata,Diésel,5.0,manual,2.0,0,200000.0,10800.0,concesionaria,154.0,4x4
audi,q5,2018.0,tfsi,Negro,Nafta,5.0,automatica,2.0,0,87028.0,34000.0,particular,252.0,4x4
volkswagen,tcross,2025.0,200 tsi comfortline,Blanco,Nafta,5.0,automatica,1.0,1,0.0,32520.0,tienda,110.0,4x2
volkswagen,tcross,2025.0,200 tsi comfortline,Gris plata,Nafta,5.0,automatica,1.0,1,0.0,25592.0,tienda,110.0,4x2
renault,duster,2016.0,ph2 privilege,Plateado,Nafta,5.0,manual,1.6,1,87900.0,13900.0,tienda,110.0,4x2
